Club,School Details,Count,Count.1
Brighton Wolves Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,129
Saints Basketball Club (McKinnon),"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,24
Independent,"St Peter's School, Bentleigh East VIC 3165",167,22
Brighton Wolves Basketball Club,"Elsternwick Primary School, Brighton VIC 3186",59,42
Independent,N/A,2176,766
Oakleigh Raptors Basketball Club,"St Andrew's School, Clayton South VIC 3169",27,23
Bentleigh Lakers Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,107
Ormond Jets Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,162
Bentleigh Lakers Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,16
Bentleigh Lakers Basketball Club,N/A,2176,409
East Brighton Vampires Basketball Club,N/A,2176,42
East Brighton Vampires Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,116
Brighton Wolves Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,33
Saints Basketball Club (McKinnon),"St Peter's School, Bentleigh East VIC 3165",167,111
Ormond Jets Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,28
Maccabi Victoria Basketball Club,"Beth Rivkah Ladies College, St Kilda East VIC 3183",36,36
Maccabi Victoria Basketball Club,"Mount Scopus Memorial College, Burwood VIC 3125",122,66
Maccabi Victoria Basketball Club,"Yesodei HaTorah College, Elwood VIC 3184",4,4
Oakleigh Raptors Basketball Club,"Hughesdale Primary School, Hughesdale VIC 3166",121,16
ABA Wolverines Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,36
Bentleigh Lakers Basketball Club,"Hughesdale Primary School, Hughesdale VIC 3166",121,97
Oakleigh Raptors Basketball Club,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,10
Oakleigh Raptors Basketball Club,"Sacred Heart School, Oakleigh VIC 3166",42,34
Carnegie Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,146
Moorabbin Magic Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,90
Saints Basketball Club (McKinnon),N/A,2176,85
Bentleigh Lakers Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,24
Saints Basketball Club (McKinnon),"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,9
Ormond Jets Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,7
Saints Basketball Club (McKinnon),"St Leonard's College, Brighton East VIC 3187",98,3
Brighton Wolves Basketball Club,N/A,2176,265
Brighton Wolves Basketball Club,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,22
Saints Basketball Club (McKinnon),"Brighton Primary School, Brighton VIC 3186",101,3
Brighton Wolves Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,90
Ormond Jets Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,68
Carnegie Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,5
Oakleigh Raptors Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,106
Brighton Wolves Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,18
Oakleigh Raptors Basketball Club,"South Oakleigh College, Oakleigh South VIC 3167",61,35
Saints Basketball Club (McKinnon),"Parktone Primary School, Parkdale VIC 3195",1,1
Bentleigh Lakers Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,11
Independent,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,15
St Kilda Warriors Basketball Club,"St Michael's Grammar School, St Kilda VIC 3182",33,11
Oakleigh Raptors Basketball Club,"St Patrick's School, Murrumbeena VIC 3163",49,2
Bentleigh Lakers Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,63
Carnegie Basketball Club,N/A,2176,130
Carnegie Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,3
Ormond Jets Basketball Club,"Mount Scopus Memorial College, Burwood VIC 3125",122,35
Saints Basketball Club (McKinnon),"Mentone Grammar School, Mentone VIC 3194",41,7
ABA Wolverines Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,47
Brighton Wolves Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,5
ABA Wolverines Basketball Club,N/A,2176,24
Brighton Wolves Basketball Club,"Hampton Primary School, Hampton VIC 3188",47,41
Carnegie Basketball Club,"St Patrick's School, Murrumbeena VIC 3163",49,29
Carnegie Basketball Club,"Glen Eira College, Caulfield East VIC 3145",74,57
Oakleigh Raptors Basketball Club,"Mount Waverley Heights Primary School, Mount Waverley VIC 3149",9,7
